,sentence,Agent,Role,Team,embedded
699,I back Agent[04]'s opinion.,Agent[04],,,"[ 0.00820297  0.00589829 -0.01165807 ... -0.00020272  0.01288928
  0.01600579]"
700,I align with Agent[00]'s perspective.,Agent[00],,,"[-0.0434204   0.01634415  0.0262921  ...  0.01216971 -0.00811826
  0.02278649]"
701,I align with Agent[01]'s perspective.,Agent[01],,,"[-0.04522419  0.01462687  0.02791014 ...  0.01151217 -0.00917615
  0.01969589]"
702,I align with Agent[02]'s perspective.,Agent[02],,,"[-0.04093475  0.01533922  0.02233764 ...  0.01076913 -0.01015827
  0.02463023]"
703,I align with Agent[03]'s perspective.,Agent[03],,,"[-0.04340181  0.01795833  0.02900496 ...  0.0161625  -0.00328985
  0.02684695]"
704,I align with Agent[04]'s perspective.,Agent[04],,,"[-0.04099471  0.02350504  0.02463292 ...  0.00640636 -0.00182999
  0.01837694]"
705,Agree with Agent[00]'s opinion.,Agent[00],,,"[-0.02709811  0.00324372 -0.01264678 ...  0.01317621 -0.00747174
  0.01324332]"
706,Agree with Agent[01]'s opinion.,Agent[01],,,"[-0.02314664  0.00252035 -0.00701637 ...  0.01748923 -0.00819069
  0.01017743]"
707,Agree with Agent[02]'s opinion.,Agent[02],,,"[-0.02012508  0.00139675 -0.01496784 ...  0.01405644 -0.00946975
  0.01358221]"
708,Agree with Agent[03]'s opinion.,Agent[03],,,"[-0.02274618  0.00126573 -0.01078266 ...  0.01982357 -0.00246319
  0.01326246]"
709,Agree with Agent[04]'s opinion.,Agent[04],,,"[-0.02080368  0.00758375 -0.01102153 ...  0.01317567 -0.00467345
  0.01073382]"
710,I strongly agree with the Agent[00]'s suggestion.,Agent[00],,,"[-0.03539554  0.01322174  0.01241225 ...  0.00754735 -0.01001551
  0.02239602]"
711,I strongly agree with the Agent[01]'s suggestion.,Agent[01],,,"[-0.03230502  0.01403299  0.01095219 ...  0.01147222 -0.00984909
  0.0211007 ]"
712,I strongly agree with the Agent[02]'s suggestion.,Agent[02],,,"[-0.03041715  0.01303145  0.01072118 ...  0.00947599 -0.00938202
  0.02127008]"
713,I strongly agree with the Agent[03]'s suggestion.,Agent[03],,,"[-0.03197333  0.013541    0.01476774 ...  0.01190014 -0.00462957
  0.02147183]"
714,I strongly agree with the Agent[04]'s suggestion.,Agent[04],,,"[-0.02921093  0.01866035  0.00978684 ...  0.00964512 -0.00513356
  0.02017207]"
715,I think Agent[00] is not the VILLAGER,Agent[00],VILLAGER,,"[-0.02987255  0.00617721 -0.01484379 ... -0.01706342 -0.00483233
  0.04399188]"
716,I think Agent[00] is not the SEER,Agent[00],SEER,,"[-0.02333052 -0.00758693  0.00412752 ... -0.01980553 -0.00178709
  0.02710144]"
717,I think Agent[00] is not the MEDIUM,Agent[00],MEDIUM,,"[-0.01424598  0.00220777  0.03975179 ... -0.04300074  0.00172102
  0.03199573]"
718,I think Agent[00] is not the BODYGUARD,Agent[00],BODYGUARD,,"[-0.00435278  0.01018801  0.020255   ... -0.02149541  0.01892383
  0.0147866 ]"
719,I think Agent[00] is not the WEREWOLF,Agent[00],WEREWOLF,,"[-0.00855563  0.00804708  0.01962411 ...  0.00100682  0.00409085
  0.03488066]"
720,I think Agent[00] is not the POSSESSED,Agent[00],POSSESSED,,"[-0.02715857  0.01827224 -0.00915126 ... -0.00101428  0.01921083
  0.01559271]"
721,I think Agent[01] is not the VILLAGER,Agent[01],VILLAGER,,"[-0.03247367  0.01081702 -0.01455586 ... -0.01120146 -0.00733447
  0.03615221]"
722,I think Agent[01] is not the SEER,Agent[01],SEER,,"[-0.02747877 -0.00212595  0.00726316 ... -0.01414088 -0.00385241
  0.02158472]"
723,I think Agent[01] is not the MEDIUM,Agent[01],MEDIUM,,"[-0.01586762  0.01103464  0.04039592 ... -0.03727188  0.00417569
  0.02353851]"
724,I think Agent[01] is not the BODYGUARD,Agent[01],BODYGUARD,,"[-0.00792985  0.0118065   0.01594797 ... -0.01999381  0.01755159
  0.00929808]"
725,I think Agent[01] is not the WEREWOLF,Agent[01],WEREWOLF,,"[-0.01108573  0.01199499  0.01622124 ...  0.00814699  0.00362614
  0.02969288]"
726,I think Agent[01] is not the POSSESSED,Agent[01],POSSESSED,,"[-0.02855471  0.02197651 -0.01144548 ...  0.00242073  0.01887915
  0.01070064]"
727,I think Agent[02] is not the VILLAGER,Agent[02],VILLAGER,,"[-0.02795987  0.00904186 -0.02342015 ... -0.00922976 -0.00592644
  0.040166  ]"
728,I think Agent[02] is not the SEER,Agent[02],SEER,,"[-2.49365699e-02 -3.00632254e-03  3.12267161e-06 ... -1.30965319e-02
 -3.09894863e-03  2.53392924e-02]"
729,I think Agent[02] is not the MEDIUM,Agent[02],MEDIUM,,"[-0.01079771  0.00838429  0.02914912 ... -0.03648342  0.00182476
  0.02957226]"
730,I think Agent[02] is not the BODYGUARD,Agent[02],BODYGUARD,,"[-0.00682274  0.012123    0.00456035 ... -0.01765802  0.01617822
  0.01279175]"
731,I think Agent[02] is not the WEREWOLF,Agent[02],WEREWOLF,,"[-0.00535893  0.01043676  0.00253711 ...  0.01109266  0.00371197
  0.03439517]"
732,I think Agent[02] is not the POSSESSED,Agent[02],POSSESSED,,"[-0.0227888   0.02028087 -0.01917912 ...  0.00475491  0.01880221
  0.01439521]"
733,I think Agent[03] is not the VILLAGER,Agent[03],VILLAGER,,"[-0.02916354  0.00816226 -0.01714811 ... -0.00488633  0.00509958
  0.03859059]"
734,I think Agent[03] is not the SEER,Agent[03],SEER,,"[-0.02236727 -0.00285591  0.00152695 ... -0.00823973  0.00334989
  0.02615914]"
735,I think Agent[03] is not the MEDIUM,Agent[03],MEDIUM,,"[-0.01266789  0.00678637  0.03842855 ... -0.0302613   0.01377731
  0.02922269]"
736,I think Agent[03] is not the BODYGUARD,Agent[03],BODYGUARD,,"[-0.00733274  0.0119632   0.01109059 ... -0.01621365  0.02698053
  0.01414472]"
737,I think Agent[03] is not the WEREWOLF,Agent[03],WEREWOLF,,"[-0.00719014  0.00935212  0.01085212 ...  0.01511268  0.01371832
  0.03323945]"
738,I think Agent[03] is not the POSSESSED,Agent[03],POSSESSED,,"[-0.02130437  0.01933782 -0.01317451 ...  0.00797311  0.0289996
  0.01276837]"
739,I think Agent[04] is not the VILLAGER,Agent[04],VILLAGER,,"[-0.02687802  0.02056856 -0.02281455 ... -0.01129645  0.00240114
  0.03478332]"
740,I think Agent[04] is not the SEER,Agent[04],SEER,,"[-0.02251914  0.0074706   0.00010542 ... -0.01383591  0.00507714
  0.02159674]"
741,I think Agent[04] is not the MEDIUM,Agent[04],MEDIUM,,"[-0.00871509  0.01719736  0.03250115 ... -0.03653663  0.00846675
  0.02349892]"
742,I think Agent[04] is not the BODYGUARD,Agent[04],BODYGUARD,,"[-0.00501424  0.02363605  0.00381419 ... -0.02115174  0.02338341
  0.00931266]"
743,I think Agent[04] is not the WEREWOLF,Agent[04],WEREWOLF,,"[-0.00327547  0.02421541  0.00321156 ...  0.01058803  0.01128395
  0.02988224]"
744,I think Agent[04] is not the POSSESSED,Agent[04],POSSESSED,,"[-0.01903828  0.03163504 -0.01982558 ...  0.00251935  0.02646751
  0.00918991]"
745,I'm pretty sure Agent[00] isn't the VILLAGER.,Agent[00],VILLAGER,,"[-0.02557859  0.00686306 -0.03894386 ... -0.01958296  0.0026786
  0.03441937]"
746,I'm pretty sure Agent[00] isn't the SEER.,Agent[00],SEER,,"[-0.01933097 -0.00177505 -0.03332488 ... -0.02706654  0.00522985
  0.01153187]"
747,I'm pretty sure Agent[00] isn't the MEDIUM.,Agent[00],MEDIUM,,"[-0.01225893  0.01079609  0.01390463 ... -0.04080724  0.01137513
  0.01965696]"
748,I'm pretty sure Agent[00] isn't the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.01333364  0.02224736 -0.0036508  ... -0.02877647  0.02395353
  0.00020173]"
749,I'm pretty sure Agent[00] isn't the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.0081204   0.01354269 -0.01004297 ... -0.00079672  0.00431763
  0.0235661 ]"
750,I'm pretty sure Agent[00] isn't the POSSESSED.,Agent[00],POSSESSED,,"[-0.02105139  0.02678174 -0.04074031 ...  0.00115208  0.02361602
 -0.00577043]"
751,I'm pretty sure Agent[01] isn't the VILLAGER.,Agent[01],VILLAGER,,"[-0.02740086  0.00664712 -0.03681904 ... -0.01637167 -0.00185197
  0.03131133]"
752,I'm pretty sure Agent[01] isn't the SEER.,Agent[01],SEER,,"[-0.02345168  0.00048948 -0.02822741 ... -0.02443212  0.00165945
  0.01027098]"
753,I'm pretty sure Agent[01] isn't the MEDIUM.,Agent[01],MEDIUM,,"[-0.01135205  0.01418255  0.01471562 ... -0.03528745  0.00830381
  0.01364198]"
754,I'm pretty sure Agent[01] isn't the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.01445162  0.02222404 -0.00503607 ... -0.02475707  0.02066422
 -0.00230639]"
755,I'm pretty sure Agent[01] isn't the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.01111844  0.01543258 -0.00953379 ...  0.00508706  0.00564331
  0.01998603]"
756,I'm pretty sure Agent[01] isn't the POSSESSED.,Agent[01],POSSESSED,,"[-0.02152622  0.02852157 -0.03989239 ...  0.00259456  0.02271462
 -0.00513847]"
757,I'm pretty sure Agent[02] isn't the VILLAGER.,Agent[02],VILLAGER,,"[-0.02576751  0.00404928 -0.04258074 ... -0.01574529  0.00114496
  0.03425628]"
758,I'm pretty sure Agent[02] isn't the SEER.,Agent[02],SEER,,"[-0.02042378  0.00109136 -0.03746686 ... -0.02501409  0.00186578
  0.01463162]"
759,I'm pretty sure Agent[02] isn't the MEDIUM.,Agent[02],MEDIUM,,"[-0.00908076  0.01222726  0.00771304 ... -0.03449941  0.01118092
  0.01713012]"
760,I'm pretty sure Agent[02] isn't the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.01367379  0.02042397 -0.01543471 ... -0.02379907  0.02099761
  0.00418551]"
761,I'm pretty sure Agent[02] isn't the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.003851    0.00976114 -0.02077625 ...  0.00606194  0.00430639
  0.02477575]"
762,I'm pretty sure Agent[02] isn't the POSSESSED.,Agent[02],POSSESSED,,"[-0.01873422  0.02616949 -0.0463111  ...  0.00375747  0.02395218
 -0.00188205]"
763,I'm pretty sure Agent[03] isn't the VILLAGER.,Agent[03],VILLAGER,,"[-0.02806868  0.00451298 -0.03710821 ... -0.00977246  0.0104036
  0.03398645]"
764,I'm pretty sure Agent[03] isn't the SEER.,Agent[03],SEER,,"[-0.02484516  0.00029072 -0.03136682 ... -0.01918782  0.01119682
  0.0165163 ]"
765,I'm pretty sure Agent[03] isn't the MEDIUM.,Agent[03],MEDIUM,,"[-0.01098088  0.01196291  0.01229025 ... -0.0308893   0.01943229
  0.0168433 ]"
766,I'm pretty sure Agent[03] isn't the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.01703173  0.02063074 -0.00745222 ... -0.02207569  0.03071866
  0.00508075]"
767,I'm pretty sure Agent[03] isn't the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.00572595  0.00901574 -0.01249596 ...  0.01048006  0.0134087
  0.02480806]"
768,I'm pretty sure Agent[03] isn't the POSSESSED.,Agent[03],POSSESSED,,"[-0.01935422  0.025519   -0.03944927 ...  0.0069916   0.03288763
 -0.00140311]"
769,I'm pretty sure Agent[04] isn't the VILLAGER.,Agent[04],VILLAGER,,"[-0.02617967  0.0127575  -0.04196886 ... -0.01595196  0.00862708
  0.03065598]"
770,I'm pretty sure Agent[04] isn't the SEER.,Agent[04],SEER,,"[-0.02303271  0.00662269 -0.03289047 ... -0.02384637  0.00967781
  0.0132532 ]"
771,I'm pretty sure Agent[04] isn't the MEDIUM.,Agent[04],MEDIUM,,"[-0.00868481  0.01798144  0.01081871 ... -0.03363499  0.01654889
  0.0144523 ]"
772,I'm pretty sure Agent[04] isn't the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.01263888  0.02924237 -0.01503361 ... -0.0257434   0.02780553
  0.00201723]"
773,I'm pretty sure Agent[04] isn't the WEREWOLF.,Agent[04],WEREWOLF,,"[-0.00383363  0.01999411 -0.01840143 ...  0.0070552   0.01136597
  0.02220544]"
774,I'm pretty sure Agent[04] isn't the POSSESSED.,Agent[04],POSSESSED,,"[-0.01730085  0.03195225 -0.04493451 ...  0.00275376  0.03081299
 -0.00483523]"
775,Agent[00] must not be the VILLAGER.,Agent[00],VILLAGER,,"[-0.0286174   0.04997575 -0.02036566 ... -0.01566589  0.01403726
  0.0529228 ]"
776,Agent[00] must not be the SEER.,Agent[00],SEER,,"[-0.02138033  0.03563388  0.00585811 ... -0.02155531  0.01069016
  0.02845938]"
777,Agent[00] must not be the MEDIUM.,Agent[00],MEDIUM,,"[-0.01213045  0.04180931  0.03289127 ... -0.04065859  0.01385653
  0.03253966]"
778,Agent[00] must not be the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.00685095  0.05166145  0.00846078 ... -0.02233174  0.0274332
  0.02278749]"
779,Agent[00] must not be the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.01582689  0.05446758  0.00710463 ... -0.00087431  0.01521173
  0.03812427]"
780,Agent[00] must not be the POSSESSED.,Agent[00],POSSESSED,,"[-0.03705035  0.06331668 -0.01060271 ... -0.00900245  0.03411785
  0.02461089]"
781,Agent[01] must not be the VILLAGER.,Agent[01],VILLAGER,,"[-0.02783757  0.05044412 -0.02061816 ... -0.0071697   0.00965138
  0.04766037]"
782,Agent[01] must not be the SEER.,Agent[01],SEER,,"[-0.02239586  0.03732105  0.00977494 ... -0.0132273   0.00652876
  0.02587247]"
783,Agent[01] must not be the MEDIUM.,Agent[01],MEDIUM,,"[-0.01612156  0.04311011  0.03216177 ... -0.03497613  0.01296557
  0.0320967 ]"
784,Agent[01] must not be the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.00539088  0.05036269  0.00182418 ... -0.01600753  0.02341549
  0.01603624]"
785,Agent[01] must not be the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.01681197  0.0512887   0.00639205 ...  0.00755321  0.01448205
  0.0350554 ]"
786,Agent[01] must not be the POSSESSED.,Agent[01],POSSESSED,,"[-0.03272726  0.06094363 -0.01437262 ... -0.00226128  0.02728309
  0.02168337]"
787,Agent[02] must not be the VILLAGER.,Agent[02],VILLAGER,,"[-0.02225007  0.05072159 -0.02704641 ... -0.00612184  0.01068831
  0.05047641]"
788,Agent[02] must not be the SEER.,Agent[02],SEER,,"[-0.01679168  0.03768763  0.00701961 ... -0.01311087  0.00762222
  0.03026086]"
789,Agent[02] must not be the MEDIUM.,Agent[02],MEDIUM,,"[-0.01180339  0.04675548  0.02417936 ... -0.03432225  0.01506711
  0.03867388]"
790,Agent[02] must not be the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.00270438  0.04832391 -0.00827639 ... -0.01360707  0.02444588
  0.02103879]"
791,Agent[02] must not be the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.01103552  0.05151426 -0.0018895  ...  0.00719395  0.01430446
  0.03768004]"
792,Agent[02] must not be the POSSESSED.,Agent[02],POSSESSED,,"[-0.02577483  0.06133484 -0.02176198 ... -0.00062411  0.02719476
  0.02528094]"
793,Agent[03] must not be the VILLAGER.,Agent[03],VILLAGER,,"[-0.02295437  0.04964584 -0.02053892 ... -0.00119443  0.0178804
  0.05201572]"
794,Agent[03] must not be the SEER.,Agent[03],SEER,,"[-0.01595259  0.03800708  0.0119117  ... -0.00876338  0.01412689
  0.03209992]"
795,Agent[03] must not be the MEDIUM.,Agent[03],MEDIUM,,"[-0.00985251  0.04386167  0.03260166 ... -0.03125963  0.02129255
  0.03770795]"
796,Agent[03] must not be the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.0023728   0.04885207  0.00208545 ... -0.00872258  0.03243643
  0.02293114]"
797,Agent[03] must not be the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.01096217  0.05065278  0.00702713 ...  0.0140845   0.02260474
  0.0405827 ]"
798,Agent[03] must not be the POSSESSED.,Agent[03],POSSESSED,,"[-0.02434532  0.06125399 -0.01163642 ...  0.00418651  0.03533059
  0.02665882]"
799,Agent[04] must not be the VILLAGER.,Agent[04],VILLAGER,,"[-0.02111211  0.05714466 -0.02538588 ... -0.00984628  0.01727629
  0.04886896]"
800,Agent[04] must not be the SEER.,Agent[04],SEER,,"[-0.01698526  0.04452197  0.0062408  ... -0.01532051  0.01406592
  0.02867871]"
801,Agent[04] must not be the MEDIUM.,Agent[04],MEDIUM,,"[-0.00861005  0.05056043  0.02486982 ... -0.03693538  0.02007643
  0.03683688]"
802,Agent[04] must not be the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.00043445  0.05771036 -0.00351935 ... -0.01717304  0.03126445
  0.01905002]"
803,Agent[04] must not be the WEREWOLF.,Agent[04],WEREWOLF,,"[-0.00888334  0.05993255  0.0017988  ...  0.00590097  0.02142806
  0.03733405]"
804,Agent[04] must not be the POSSESSED.,Agent[04],POSSESSED,,"[-0.02170382  0.0700261  -0.01610234 ... -0.00536109  0.03519621
  0.02280275]"
805,Agent[00] doesn't seem like the VILLAGER.,Agent[00],VILLAGER,,"[-0.0570009   0.02716922 -0.02195019 ... -0.018728    0.00732934
  0.04350706]"
806,Agent[00] doesn't seem like the SEER.,Agent[00],SEER,,"[-0.05461253  0.01663561 -0.00702954 ... -0.02105963  0.00879003
  0.02309765]"
807,Agent[00] doesn't seem like the MEDIUM.,Agent[00],MEDIUM,,"[-0.04162358  0.01598914  0.03256335 ... -0.0364081   0.01788644
  0.02664578]"
808,Agent[00] doesn't seem like the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.04360723  0.02990631  0.00467378 ... -0.02168576  0.02585496
  0.01051877]"
809,Agent[00] doesn't seem like the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.04884834  0.03453954  0.0068538  ... -0.00017214  0.01233233
  0.03153348]"
810,Agent[00] doesn't seem like the POSSESSED.,Agent[00],POSSESSED,,"[-0.05867399  0.04153462 -0.02220057 ... -0.00339466  0.02756035
  0.01601964]"
811,Agent[01] doesn't seem like the VILLAGER.,Agent[01],VILLAGER,,"[-0.05258429  0.02308019 -0.0251909  ... -0.01146362  0.00110698
  0.0371669 ]"
812,Agent[01] doesn't seem like the SEER.,Agent[01],SEER,,"[-0.05479055  0.0159352  -0.00450916 ... -0.01310209  0.00427732
  0.01895549]"
813,Agent[01] doesn't seem like the MEDIUM.,Agent[01],MEDIUM,,"[-0.03908939  0.02222633  0.03017253 ... -0.02762251  0.01627902
  0.0205318 ]"
814,Agent[01] doesn't seem like the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.03867996  0.02495242 -0.0006414  ... -0.01514916  0.02277556
  0.00663423]"
815,Agent[01] doesn't seem like the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.04635707  0.03421803  0.00073166 ...  0.00729369  0.0070298
  0.02819249]"
816,Agent[01] doesn't seem like the POSSESSED.,Agent[01],POSSESSED,,"[-0.05890512  0.04586371 -0.02611198 ...  0.0018107   0.02325279
  0.00953306]"
817,Agent[02] doesn't seem like the VILLAGER.,Agent[02],VILLAGER,,"[-0.05006259  0.02552445 -0.02994789 ... -0.00933256  0.0028842
  0.04031907]"
818,Agent[02] doesn't seem like the SEER.,Agent[02],SEER,,"[-0.05085352  0.01946916 -0.00803535 ... -0.01169302  0.00780906
  0.02152635]"
819,Agent[02] doesn't seem like the MEDIUM.,Agent[02],MEDIUM,,"[-0.03455064  0.02201077  0.02443624 ... -0.02691122  0.01859531
  0.02272026]"
820,Agent[02] doesn't seem like the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.03517085  0.02762599 -0.00391308 ... -0.01369037  0.02518798
  0.00894419]"
821,Agent[02] doesn't seem like the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.0422909   0.03306913 -0.00407858 ...  0.0091924   0.00977977
  0.02911905]"
822,Agent[02] doesn't seem like the POSSESSED.,Agent[02],POSSESSED,,"[-0.05452497  0.0446405  -0.02937642 ...  0.00391807  0.02455082
  0.01256699]"
823,Agent[03] doesn't seem like the VILLAGER.,Agent[03],VILLAGER,,"[-0.05125787  0.02592352 -0.02396453 ... -0.00315759  0.0122253
  0.04103575]"
824,Agent[03] doesn't seem like the SEER.,Agent[03],SEER,,"[-0.05019131  0.01914243 -0.00346175 ... -0.00743742  0.0132632
  0.02415827]"
825,Agent[03] doesn't seem like the MEDIUM.,Agent[03],MEDIUM,,"[-0.03316076  0.02199186  0.03087097 ... -0.02340856  0.02531947
  0.02553362]"
826,Agent[03] doesn't seem like the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.03721458  0.03054886  0.0036236  ... -0.01006949  0.03290313
  0.01162955]"
827,Agent[03] doesn't seem like the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.04226681  0.03194788  0.00449996 ...  0.01623629  0.01762089
  0.03244342]"
828,Agent[03] doesn't seem like the POSSESSED.,Agent[03],POSSESSED,,"[-0.0517449   0.04425742 -0.0210259  ...  0.01004136  0.03241675
  0.01513459]"
829,Agent[04] doesn't seem like the VILLAGER.,Agent[04],VILLAGER,,"[-0.04910623  0.03295363 -0.02923972 ... -0.01369138  0.01119333
  0.03822976]"
830,Agent[04] doesn't seem like the SEER.,Agent[04],SEER,,"[-0.04895495  0.02507685 -0.00554024 ... -0.01666931  0.01452287
  0.01999021]"
831,Agent[04] doesn't seem like the MEDIUM.,Agent[04],MEDIUM,,"[-0.03110489  0.02770866  0.02829647 ... -0.03089263  0.02496555
  0.0210305 ]"
832,Agent[04] doesn't seem like the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.03452157  0.03798217 -0.00221387 ... -0.01908956  0.03266466
  0.00634795]"
833,Agent[04] doesn't seem like the WEREWOLF.,Agent[04],WEREWOLF,,"[-0.04067015  0.04139331 -0.00068926 ...  0.00599133  0.01721105
  0.02732074]"
834,Agent[04] doesn't seem like the POSSESSED.,Agent[04],POSSESSED,,"[-4.98148240e-02  5.20988479e-02 -2.55001020e-02 ...  6.68582579e-05
  3.21787000e-02  1.02853300e-02]"
835,I suspect Agent[00] isn't the VILLAGER.,Agent[00],VILLAGER,,"[-0.03186478  0.0160795  -0.02112549 ... -0.02665696 -0.00562709
  0.03874969]"
836,I suspect Agent[00] isn't the SEER.,Agent[00],SEER,,"[-0.02573002  0.00692329 -0.01778091 ... -0.03124934 -0.00289644
  0.01758781]"
837,I suspect Agent[00] isn't the MEDIUM.,Agent[00],MEDIUM,,"[-0.01853573  0.02102911  0.02891699 ... -0.05149859 -0.00194943
  0.02425954]"
838,I suspect Agent[00] isn't the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.01616744  0.02768148  0.013904   ... -0.03106961  0.0158441
  0.00790096]"
839,I suspect Agent[00] isn't the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.01130255  0.02545532  0.01243983 ... -0.00618481 -0.0045842
  0.02847401]"
840,I suspect Agent[00] isn't the POSSESSED.,Agent[00],POSSESSED,,"[-0.0290333   0.03369333 -0.01668496 ... -0.00585076  0.0107019
  0.007262  ]"
841,I suspect Agent[01] isn't the VILLAGER.,Agent[01],VILLAGER,,"[-0.03486815  0.01711604 -0.01955912 ... -0.0213806  -0.00928805
  0.03588008]"
842,I suspect Agent[01] isn't the SEER.,Agent[01],SEER,,"[-0.02961094  0.01173547 -0.01365323 ... -0.0265804  -0.00607687
  0.01740985]"
843,I suspect Agent[01] isn't the MEDIUM.,Agent[01],MEDIUM,,"[-0.01937368  0.0270309   0.03311978 ... -0.04686587 -0.00340961
  0.02100353]"
844,I suspect Agent[01] isn't the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.01965562  0.02953177  0.01198261 ... -0.02773611  0.01343295
  0.00645058]"
845,I suspect Agent[01] isn't the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.01287992  0.02799014  0.01000146 ...  0.00083287 -0.00564194
  0.0282968 ]"
846,I suspect Agent[01] isn't the POSSESSED.,Agent[01],POSSESSED,,"[-0.0306518   0.03492677 -0.01747793 ... -0.0044022   0.01081828
  0.00556545]"
847,I suspect Agent[02] isn't the VILLAGER.,Agent[02],VILLAGER,,"[-0.03280603  0.01402833 -0.02792908 ... -0.01869972 -0.01071087
  0.03949767]"
848,I suspect Agent[02] isn't the SEER.,Agent[02],SEER,,"[-0.02761436  0.00871701 -0.02199708 ... -0.02563179 -0.0043113
  0.0202348 ]"
849,I suspect Agent[02] isn't the MEDIUM.,Agent[02],MEDIUM,,"[-0.01600227  0.02472106  0.02320939 ... -0.0474571  -0.00011899
  0.02623272]"
850,I suspect Agent[02] isn't the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.0134165   0.02573408 -0.00196831 ... -0.0264435   0.01183072
  0.01069703]"
851,I suspect Agent[02] isn't the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.00962825  0.0241392  -0.00071106 ...  0.00193902 -0.00626796
  0.03020143]"
852,I suspect Agent[02] isn't the POSSESSED.,Agent[02],POSSESSED,,"[-0.02601436  0.03182866 -0.02575722 ... -0.00207143  0.00976431
  0.00839288]"
853,I suspect Agent[03] isn't the VILLAGER.,Agent[03],VILLAGER,,"[-0.03267704  0.01357738 -0.02091901 ... -0.01622436  0.00055027
  0.03912683]"
854,I suspect Agent[03] isn't the SEER.,Agent[03],SEER,,"[-0.03177815  0.00725337 -0.01193055 ... -0.01797044  0.00483034
  0.02335843]"
855,I suspect Agent[03] isn't the MEDIUM.,Agent[03],MEDIUM,,"[-0.01737818  0.02118112  0.03279255 ... -0.03918273  0.01029443
  0.02842852]"
856,I suspect Agent[03] isn't the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.01564007  0.02473899  0.00648175 ... -0.02404015  0.02049003
  0.01282374]"
857,I suspect Agent[03] isn't the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.01133611  0.02286424  0.0085518  ...  0.0070705   0.00305348
  0.03088799]"
858,I suspect Agent[03] isn't the POSSESSED.,Agent[03],POSSESSED,,"[-0.02626662  0.03161091 -0.01662984 ...  0.00227772  0.01850603
  0.00910377]"
859,I suspect Agent[04] isn't the VILLAGER.,Agent[04],VILLAGER,,"[-0.03432332  0.02416384 -0.02619855 ... -0.01922443 -0.00275737
  0.0361756 ]"
860,I suspect Agent[04] isn't the SEER.,Agent[04],SEER,,"[-0.03148412  0.01698872 -0.01554848 ... -0.02378731  0.00319797
  0.01894003]"
861,I suspect Agent[04] isn't the MEDIUM.,Agent[04],MEDIUM,,"[-0.01584681  0.03175446  0.02608185 ... -0.04535048  0.00555475
  0.02106318]"
862,I suspect Agent[04] isn't the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.01309122  0.03577623  0.00074303 ... -0.02847721  0.01833048
  0.00742343]"
863,I suspect Agent[04] isn't the WEREWOLF.,Agent[04],WEREWOLF,,"[-0.01045772  0.03583946  0.00269443 ...  0.00193189  0.00058765
  0.02678428]"
864,I suspect Agent[04] isn't the POSSESSED.,Agent[04],POSSESSED,,"[-0.02543994  0.04102578 -0.02277171 ... -0.00400234  0.01757643
  0.00425293]"
865,I'm convinced Agent[00] is not the VILLAGER.,Agent[00],VILLAGER,,"[-0.02417205 -0.00437767 -0.05163264 ... -0.00959153  0.01278168
  0.03291335]"
866,I'm convinced Agent[00] is not the SEER.,Agent[00],SEER,,"[-0.01696541 -0.00756015 -0.04278095 ... -0.0144813   0.01478483
  0.01368256]"
867,I'm convinced Agent[00] is not the MEDIUM.,Agent[00],MEDIUM,,"[-0.00731664  0.00753437  0.0008151  ... -0.03219472  0.01443056
  0.02524222]"
